idx,drugbank_id,drug_name
0,DB00285,Venlafaxine
1,DB00268,Ropinirole
2,DB00734,Risperidone
3,DB00996,Gabapentin
4,DB00472,Fluoxetine
5,DB08544,(3S)-N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine
6,DB08472,(3R)-N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine
7,DB00215,Citalopram
8,DB01175,Escitalopram
9,DB01242,Clomipramine
10,DB00555,Lamotrigine
11,DB00619,Imatinib
12,DB01224,Quetiapine
13,DB04868,Nilotinib
14,DB00246,Ziprasidone
15,DB07701,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE"
16,DB00843,Donepezil
17,DB00740,Riluzole
18,DB00480,Lenalidomide
19,DB00370,Mirtazapine
20,DB05665,SCH-503034
21,DB00476,Duloxetine
22,DB08873,Boceprevir
23,DB00425,Zolpidem
24,DB00537,Ciprofloxacin
25,DB01156,Bupropion
26,DB05488,99mTc-ciprofloxacin
27,DB00962,Zaleplon
28,DB00244,Mesalazine
29,DB01273,Varenicline
30,DB00669,Sumatriptan
31,DB01043,Memantine
32,DB00216,Eletriptan
33,DB00586,Diclofenac
34,DB00323,Tolcapone
35,DB00252,Phenytoin
36,DB01181,Ifosfamide
37,DB06701,Dexmethylphenidate
38,DB00422,Methylphenidate
39,DB01320,Fosphenytoin
40,DB00853,Temozolomide
41,DB00564,Carbamazepine
42,DB01590,Everolimus
43,DB00659,Acamprosate
44,DB00909,Zonisamide
45,DB00582,Voriconazole
46,DB01041,Thalidomide
47,DB00465,Ketorolac
48,DB00404,Alprazolam
49,DB00697,Tizanidine
50,DB00531,Cyclophosphamide
51,DB01080,Vigabatrin
52,DB00736,Esomeprazole
53,DB00338,Omeprazole
54,DB01149,Nefazodone
55,DB00776,Oxcarbazepine
56,DB00307,Bexarotene
57,DB00399,Zoledronate
58,DB00952,Naratriptan
59,DB01182,Propafenone
60,DB01101,Capecitabine
61,DB00724,Imiquimod
62,DB01267,Paliperidone
63,DB01136,Carvedilol
64,DB00490,Buspirone
65,DB01142,Doxepin
66,DB00966,Telmisartan
67,DB00014,Goserelin
68,DB00398,Sorafenib
69,DB00282,Pamidronate
70,DB00953,Rizatriptan
71,DB00918,Almotriptan
72,DB00656,Trazodone
73,DB01001,Salbutamol
74,DB00181,Baclofen
75,DB00814,Meloxicam
76,DB01062,Oxybutynin
77,DB01215,Estazolam
78,DB00213,Pantoprazole
79,DB01137,Levofloxacin
80,DB01165,Ofloxacin
81,DB03034,Dextrofloxacine
82,DB00813,Fentanyl
83,DB01254,Dasatinib
84,DB01029,Irbesartan
85,DB00289,Atomoxetine
86,DB00590,Doxazosin
87,DB00264,Metoprolol
88,DB00261,Anagrelide
89,DB01006,Letrozole
90,DB01059,Norfloxacin
91,DB00998,Frovatriptan
92,DB01703,N-(2-Ferrocenylethyl)Maleimide
93,DB02013,Monoazido-Mu-Oxo-Diiron
94,DB01592,Iron
95,DB04811,Salophen iron chelate
96,DB03681,Chloro Diiron-Oxo Moiety
97,DB04810,Salophen-10-carboxylate iron chelate
98,DB00262,Carmustine
99,DB02626,Phenylferricrocin-Iron
100,DB00195,Betaxolol
101,DB00631,Clofarabine
102,DB01072,Atazanavir
103,DB08764,4-BROMO-2-FLUORO-N-[(4E)-6-METHOXY-7-[(1-METHYLPIPERIDIN-4-YL)METHOXY]QUINAZOLIN-4(1H)-YLIDENE]ANILINE
104,DB00203,Sildenafil
105,DB05294,Vandetanib
106,DB00884,Risedronate
107,DB00461,Nabumetone
108,DB01129,Rabeprazole
109,DB00458,Imipramine
110,DB00275,Olmesartan
111,DB00915,Amantadine
112,DB00313,Valproic Acid
113,DB01004,Ganciclovir
114,DB00949,Felbamate
115,DB01217,Anastrozole
116,DB00440,Trimethoprim
117,DB03125,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium"
118,DB01097,Leflunomide
119,DB00745,Modafinil
120,DB01118,Amiodarone
121,DB01204,Mitoxantrone
122,DB01100,Pimozide
123,DB00808,Indapamide
124,DB01008,Busulfan
125,DB07467,"4-chloro-N-[(2S)-2-methyl-2,3-dihydro-1H-indol-1-yl]-3-sulfamoylbenzamide"
126,DB00556,Perflutren
127,DB00975,Dipyridamole
