idx,umls_cui,se_name
0,C0027497,Nausea
1,C0018681,Headache
2,C0012833,Dizziness
3,C0042963,Vomiting
4,C0011991,Diarrhoea
5,C0015230,Dermatitis
6,C0033774,Pruritus
7,C0000737,Abdominal pain
8,C0015672,Asthenia
9,C0004093,Asthenia
10,C0009806,Constipation
11,C0020517,Hypersensitivity
12,C0013404,Dyspnoea
13,C0015967,Body temperature increased
14,C0042109,Urticaria
15,C0917801,Insomnia
16,C0013395,Dyspepsia
17,C0043352,Dry mouth
18,C0030554,Paraesthesia
19,C0020538,Hypertension
20,C0020649,Hypotension
21,C0040034,Thrombocytopenia
22,C0039231,Tachycardia
23,C0013604,Oedema
24,C0003862,Arthralgia
25,C0030193,Pain
26,C0231528,Myalgia
27,C0008031,Chest pain
28,C0004604,Back pain
29,C0010200,Cough
30,C2830004,Somnolence
31,C0002871,Anaemia
32,C0040822,Tremor
33,C0002994,Angioedema
34,C0036572,Convulsion
35,C0009676,Feeling abnormal
36,C0002792,Anaphylactic shock
37,C0030252,Palpitations
38,C0023530,Leukopenia
39,C0009450,Infection
40,C0003467,Anxiety
41,C0003123,Decreased appetite
42,C0042571,Vertigo
43,C0039070,Shock
44,C0002170,Alopecia
45,C0344232,Vision blurred
46,C0013378,Dysgeusia
47,C0017178,Gastrointestinal disorder
48,C0085631,Agitation
49,C0031350,Pharyngitis
50,C0027765,Nervous system disorder
51,C0178298,Skin disorder
52,C0041912,Upper respiratory tract infection
53,C0231218,Feeling abnormal
54,C0085649,Oedema peripheral
55,C0428977,Bradycardia
56,C0016204,Flatulence
57,C0037199,Sinusitis
58,C0035455,Rhinitis
59,C0018524,Hallucination
60,C0003811,Arrhythmia
61,C0027769,Nervousness
62,C0038325,Stevens-Johnson syndrome
63,C0042029,Urinary tract infection
64,C0019158,Hepatitis
65,C0011570,Depression
66,C0016382,Flushing
67,C0009763,Conjunctivitis
68,C0242350,Erectile dysfunction
69,C0020456,Hyperglycaemia
70,C0040264,Tinnitus
71,C0021400,Influenza
72,C0041834,Erythema
73,C0018965,Haematuria
74,C0043096,Weight decreased
75,C0032285,Pneumonia
76,C0027947,Neutropenia
77,C0014591,Epistaxis
78,C0020580,Hypoaesthesia
79,C0151905,Alanine aminotransferase increased
80,C0030305,Pancreatitis
81,C0006277,Bronchitis
82,C0004238,Atrial fibrillation
83,C0085593,Chills
84,C0001824,Agranulocytosis
85,C0162429,Malnutrition
86,C0006266,Bronchospasm
87,C0232462,Decreased appetite
88,C0026821,Muscle spasms
89,C0011168,Dysphagia
90,C0002962,Angina pectoris
91,C0043094,Weight increased
92,C0027441,Nasopharyngitis
93,C0022346,Jaundice
